player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
100016,Ken,Rosewall,R,19341102,AUS,175,Q312728
100022,Roy,Emerson,R,19361103,AUS,183,Q312545
100025,Barry,Phillips Moore,R,19370709,AUS,173,Q1563886
100027,Gene,Scott,R,19371228,USA,185,Q1282493
100029,Rod,Laver,L,19380809,AUS,173,Q105550
100035,Ion,Tiriac,R,19390509,ROU,185,Q924245
100037,Nikola,Pilic,L,19390827,CRO,191,Q452365
100038,Jaime,Pinto Bravo,R,19391009,CHI,178,Q18390167
100039,Boro,Jovanovic,R,19391021,CRO,,Q1259703
100040,Bob,Hewitt,R,19400112,RSA,190,Q52453
100047,Bob,Carmichael,R,19400704,AUS,183,Q1565064
100049,Jim,Mcmanus,L,19400916,USA,175,Q12957721
100054,Jose Edison,Mandarino,R,19410326,BRA,173,
100055,Cliff,Drysdale,R,19410526,RSA,188,Q582003
100056,Harald,Elschenbroich,R,19410619,GER,,Q5653740
100058,Roger,Taylor,L,19411014,GBR,183,Q1282421
100060,Marty,Riessen,R,19411204,USA,185,Q1289530
100061,Tom,Edlefsen,R,19411212,USA,188,Q7815700
100062,Francois,Jauffret,R,19420209,FRA,180,Q1260078
100064,Juan,Gisbert,R,19420405,ESP,,Q1290022
100067,Frew,Mcmillan,R,19420520,RSA,183,Q962512
100073,Mark,Cox,L,19430705,GBR,185,Q1565058
100074,Arthur,Ashe,R,19430710,USA,185,Q53325
100076,Milan,Holecek,R,19431023,CZE,190,Q1563971
100078,Clark,Graebner,R,19431104,USA,188,Q1269127
100080,Szabolcz,Baranyi,R,19440131,HUN,,Q13512888
100081,Charlie,Pasarell,R,19440212,USA,185,Q1269243
100082,Roger,Dowdeswell,R,19440216,ZIM,,Q7358114
100083,Nicola,Spear,R,19440222,SRB,,Q1258505
100084,Tom,Okker,R,19440222,NED,178,Q455411
100085,Hans Joachim,Ploetz,R,19440226,GER,,
100086,Frantisek,Pala,L,19440328,CZE,,Q323289
100087,John,Newcombe,R,19440523,AUS,183,Q312464
100088,Patricio,Cornejo,R,19440606,CHI,180,Q1271345
100090,Dick,Crealy,R,19440918,AUS,191,Q962839
100091,Colin,Dibley,R,19440919,AUS,188,Q390839
100092,Alex,Metreveli,R,19441102,RUS,,Q465796
100093,William,Brown,R,19450114,USA,,Q13512796
100098,Ove,Bengtson,R,19450405,SWE,196,Q374309
100099,Thomaz,Koch,L,19450511,BRA,,Q1281836
100100,Tony,Roche,L,19450517,AUS,178,Q710119
100101,Mike,Belkin,R,19450629,CAN,,Q1563966
100102,Joaquin,Loyo Mayo,R,19450816,MEX,,Q1565143
100104,Richard,Russell,R,19450908,JAM,,
100105,Allan,Stone,R,19451014,AUS,,Q1260060
100106,Graham,Stilwell,R,19451115,GBR,173,Q5593283
100107,Robert,Rheinberger,R,19451118,AUS,,
100109,Jun,Kuki,R,19451228,JPN,,Q16267024
100111,Ray,Keldie,R,19460117,AUS,,Q7297691
100113,Jan,Kodes,R,19460301,CZE,175,Q317431
100114,Ray,Ruffels,R,19460323,AUS,,Q1258947
100115,Jaime,Fillol,R,19460603,CHI,180,Q1258592
100116,Sherwood,Stewart,R,19460606,USA,188,Q984213
100118,Ivan,Molina,L,19460616,COL,,Q1281826
100119,Ilie,Nastase,R,19460719,ROU,183,Q106113
100120,Robert,Maud,R,19460812,RSA,180,Q1565123
100121,Raymond,Moore,R,19460824,RSA,183,Q1563090
100122,Julian,Ganzabal,R,19460825,ARG,,Q22004451
100124,Steve,Turner,R,19461017,USA,,
100126,Stan,Smith,R,19461214,USA,193,Q54657
100127,Tom,Gorman,R,19460119,USA,180,Q1258917
100128,Cliff,Richey,R,19461231,USA,175,Q1565885
100129,Jean Baptiste,Chanfreau,R,19470117,FRA,,Q1563100
100130,Vladimir,Zednik,R,19470201,CZE,,Q1261168
100132,Armistead,Neely,R,19470319,USA,,Q18085277
100133,Pat,Cramer,R,19470321,RSA,,Q7143331
100135,Onny,Parun,R,19470415,NZL,188,Q939026
100137,Hans Jurgen,Pohmann,R,19470523,GER,178,Q95218
100139,Gerald,Battrick,R,19470527,GBR,178,Q1565118
100141,Zeljko,Franulovic,R,19470613,CRO,,Q1290977
100142,Peter,Szoke,R,19470808,HUN,,Q1563115
100144,Bob,Lutz,R,19470829,USA,180,Q888085
100145,Dick,Dell,R,19470929,USA,,Q3026568
100146,Jun,Kamiwazumi,R,19471001,JPN,,Q11588830
100147,Marcello,Lara,R,19471005,MEX,,Q1565079
100148,Ismail,El Shafei,R,19471115,EGY,,Q402950
100149,Toshiro,Sakai,R,19471123,JPN,,Q962038
100150,Lito,Alvarez,R,19471205,ARG,,Q963823
100155,Ramiro,Benavides,R,19470130,BOL,,
100156,Jasjit,Singh,R,19480204,IND,,Q18091541
100160,Georges,Goven,R,19480426,FRA,173,Q1563939
100161,Jurgen,Fassbender,R,19480528,GER,,Q77578
100162,Brian,Fairlie,R,19480613,NZL,173,Q1563153
100168,Kenneth,McMillan,R,19481125,USA,,
100169,Ian,Fletcher,R,19481201,AUS,,Q3147262
100170,Bernard,Mignot,R,19481203,BEL,,Q2898324
100171,John,Yuill,R,19481212,RSA,,Q3182800
100172,Tito,Vazquez,R,19490101,ARG,173,Q2040551
100173,Andrew,Pattison,R,19490130,USA,188,Q716408
100174,Manuel,Orantes,L,19490206,ESP,178,Q318569
100175,Zan,Guerry,R,19490212,USA,,Q22278049
100176,Hans,Kary,L,19490223,AUT,172,Q3126972
100177,Pavel,Hutka,R,19490228,CZE,,Q7155624
100178,Bob,Giltinan,R,19490407,AUS,,Q2907669
100179,Karl,Meiler,R,19490430,GER,178,Q89533
100182,Mike,Estep,R,19490719,USA,173,Q4107672
100185,Patrick,Proisy,R,19490910,FRA,180,Q1282611
100186,Jeff,Borowiak,R,19490925,USA,193,Q1565788
100187,Luis Felipe,Tavares,R,19490926,BRA,,
100190,Norman,Holmes,R,19491005,USA,,
100191,Doug,Crawford,R,19491015,USA,188,
100193,Wanaro,N'Godrella,R,19491019,FRA,,Q3566000
100196,Haroon,Rahim,R,19491112,PAK,,Q1258703
100197,Alejandro,Pierola,R,19491120,CHI,,Q4714630
100198,Alvaro,Betancur,R,19500103,COL,,Q86431834
100199,Patrice,Dominguez,L,19500112,FRA,173,Q3368924
100200,Antonio,Zugarelli,R,19500117,ITA,,Q267328
100201,Syd,Ball,R,19500124,AUS,188,Q1563900
100203,Phil,Dent,R,19500214,AUS,183,Q976190
100204,Pancho,Walthall,L,19500216,USA,,
100205,Paul,Gerken,R,19500315,USA,185,Q3371310
100208,Dick,Bohrnstedt,R,19500428,USA,,Q16144736
100210,Steve,Docherty,R,19500506,AUS,,Q7612404
100214,Adriano,Panatta,R,19500709,ITA,183,Q375938
100215,Fred,Mcnair,R,19500722,USA,183,Q3086899
100216,Charlie,Owens,R,19500731,USA,,Q5081403
100219,Geoff,Masters,R,19500919,AUS,,Q1260231
100220,Jiri,Hrebec,R,19500919,CZE,,Q2057065
100221,Carlos,Kirmayr,R,19500923,BRA,173,Q1042999
100223,Jeff,Simpson,R,19501029,NZL,,Q6174987
100226,Mike,Machette,R,19510127,USA,,Q13512805
100227,Alvin,Gardiner,R,19510211,AUS,,Q22959202
100228,Kjell,Johansson,R,19510212,SWE,,Q5886813
100229,Dick,Stockton,R,19510218,USA,188,Q967423
100231,Erik,Van Dillen,R,19510221,USA,183,Q1259691
100232,Eddie,Dibbs,R,19510223,USA,170,Q1282765
100233,Ricardo,Cano,R,19510226,ARG,170,Q3430221
100235,Antonio,Munoz,R,19510301,ESP,,Q4776822
100236,John,James,R,19510307,AUS,183,Q6241493
100237,Bill,Freer,R,19510309,RSA,,
100238,Rick,Fisher,R,19510329,USA,,Q7331389
100240,Joao,Soares,R,19510425,BRA,185,Q6298385
100243,Steve,Krulevitz,R,19510530,USA,175,Q7613081
100244,John,Alexander,R,19510704,AUS,190,Q1281683
100245,Jeff,Austin,R,19510705,USA,,Q6173248
100247,Rolf,Thung,L,19510727,NED,190,Q1821050
100249,Paolo,Bertolucci,R,19510803,ITA,175,Q484985
100251,Grover Raz,Reid,R,19510827,USA,,
100252,Tim,Gullikson,R,19510908,USA,180,Q962989
100255,Roscoe,Tanner,L,19511015,USA,183,Q54681
100257,Ross,Case,R,19511101,AUS,,Q1260196
100258,Jorge,Andrew,R,19511102,VEN,,Q11705726
100261,Brian,Gottfried,R,19520127,USA,183,Q912255
100262,Rolf,Norberg,R,19520131,SWE,,Q3440373
100265,Cliff,Letcher,R,19520209,AUS,,Q2979053
100266,John,Feaver,R,19520216,GBR,190,Q6232841
100268,Denis,Naegelen,R,19520314,FRA,,Q5802672
100270,Anand,Amritraj,R,19520320,IND,185,Q2698644
100271,Jean Francois,Caujolle,L,19520331,FRA,,Q3165519
100272,Sandy,Mayer,R,19520405,USA,178,Q2096054
100273,Kim,Warwick,R,19520408,AUS,183,Q1741596
100274,Eric,Deblicker,R,19520417,FRA,178,Q3591073
100276,Terry,Moor,L,19520423,USA,178,Q716901
100278,Frank,Gebert,R,19520611,GER,,Q3082618
100279,Mike,Cahill,R,19520617,USA,183,Q6846222
100280,Wojtek,Fibak,R,19520803,POL,183,Q505565
100281,Sashi,Menon,R,19520809,IND,180,Q7425124
100282,Guillermo,Vilas,L,19520817,ARG,180,Q201515
100283,Andre,Zietsmann,R,19520819,RSA,,
100284,Jimmy,Connors,L,19520902,USA,178,Q53393
100286,Harold,Solomon,R,19520917,USA,168,Q1585949
100287,Robin,Drysdale,R,19520918,GBR,,Q3437059
100288,Tenny,Svensson,R,19520921,SWE,,Q18085229
100289,Byron,Bertram,R,19521029,RSA,,Q1565274
100297,Corrado,Barazzutti,R,19530219,ITA,178,Q2713814
100298,George,Hardie,L,19530219,USA,,Q5540227
100300,Jose,Higueras,R,19530301,ESP,178,Q1348847
100301,Jim,Delaney,R,19530312,USA,,Q6132533
100304,Bob,Kreiss,R,19530430,USA,,Q16268937
100305,Mark,Farrell,R,19530506,GBR,,Q3294072
100309,Raul,Ramirez,R,19530620,MEX,183,Q972727
100310,Mike,Myburg,R,19530623,RSA,,Q13513068
100315,Hank,Pfister,R,19531009,USA,193,Q1144091
100316,Scott,Carnahan,R,19531024,USA,,
100317,Stephen,Warboys,R,19531025,GBR,,Q27680824
100320,Mark,Meyers,R,19531205,USA,,
100321,Vijay,Amritraj,R,19531214,IND,193,Q468309
100324,John,Whitlinger,R,19540204,USA,180,Q8172709
100325,Ulrich,Pinner,R,19540207,GER,178,Q78176
100326,Russell,Simpson,R,19540222,NZL,188,Q3784261
100332,Balazs,Taroczy,R,19540509,HUN,183,Q370019
100334,Ernie,Ewert,R,19540605,AUS,,Q17365472
100342,Vitas,Gerulaitis,R,19540726,USA,183,Q53547
100343,John,Lloyd,R,19540827,GBR,178,Q1360272
100346,Paul,Kronk,R,19540922,AUS,,Q3371590
100354,Bernie,Mitton,R,19541109,RSA,188,Q2898337
100357,Bhanu,Nunna,R,19541113,IND,,Q87786664
100358,Mike,Fishbach,R,19541201,USA,180,Q18641540
100359,Richard,Lewis,L,19541206,GBR,,Q7327373
100362,Peter,Fleming,R,19550121,USA,196,Q729789
100363,Jiri,Granat,R,19550128,CZE,185,Q6203644
100367,Belus,Prajoux,R,19550227,CHI,170,Q2895162
100372,Trey,Waltke,R,19550316,USA,173,Q7839620
100376,Buster C,Mottram,R,19550425,GBR,193,Q2928786
100377,Colin,Dowdeswell,R,19550512,GBR,185,Q464502
100378,David,Schneider,R,19550517,USA,185,Q5239547
100382,Chris,Kachel,R,19550619,AUS,,Q2964756
100394,Angel,Gimenez,R,19551010,ESP,163,Q8076837
100395,Victor,Pecci,R,19551015,PAR,193,Q715523
100396,Martin,Robinson,L,19551019,GBR,,Q96392148
100403,Rolf,Gehring,R,19551125,GER,185,Q73896
100406,Greg,Halder,R,19551205,CAN,188,
100411,Pavel,Slozil,R,19551229,CZE,173,Q1445074
100428,Gene,Mayer,R,19560411,USA,183,Q2760368
100431,Mansour,Bahrami,R,19560426,IRI,178,Q564631
100437,Bjorn,Borg,R,19560606,SWE,180,Q104506
100440,Eddie,Edwards,R,19560703,RSA,190,Q5336001
100444,Werner,Zirngibl,R,19560904,GER,,Q215117
100450,Leo,Palin,R,19561020,FIN,178,Q13546
100456,Ferdi,Taygan,R,19561205,USA,173,Q760713
100461,Billy,Martin,R,19561225,USA,178,Q2903676
100474,Chris,Lewis,R,19570309,NZL,180,
100506,Howard,Schoenfield,R,19571115,USA,,Q16269511
100533,Paul,Avis,R,19580414,RSA,,
100545,Deon,Joubert,L,19530619,RSA,,Q18340778
100634,Larry,Gottfried,R,19591208,USA,,Q50413364
100644,Alexander,Zverev,R,19970420,GER,198,Q13990552
103333,Ivo,Karlovic,R,19790228,CRO,208,Q295483
103565,Stephane,Robert,R,19800517,FRA,185,Q552542
103607,Victor,Estrella,R,19800802,DOM,173,Q548522
103657,Ivo,Klec,R,19801128,SVK,183,Q3487091
103805,Catalin,Gard,R,19810710,ROU,,
103819,Roger,Federer,R,19810808,SUI,185,Q1426
103852,Feliciano,Lopez,L,19810920,ESP,188,Q223695
103863,Mikhail,Elgin,R,19811014,RUS,183,Q520836
103875,Anoosha,Shahgholi,U,19811110,IRI,,Q29016854
103893,Paolo,Lorenzi,R,19811215,ITA,183,Q708313
103917,Nicolas,Mahut,R,19820121,FRA,191,Q317974
103938,Igor,Zelenay,R,19821002,SVK,198,Q1355441
103970,David,Ferrer,R,19820402,ESP,175,Q191476
103990,Tommy,Robredo,R,19820501,ESP,180,Q213199
104015,Mohammed,Mohazebnia,L,19820611,IRI,,
104112,Benjamin,Balleret,R,19830115,MON,185,Q2080514
104122,Carlos,Berlocq,R,19830203,ARG,183,Q440468
104186,Gleb,Alekseenko,R,19830519,UKR,,
104187,Vadim,Alekseenko,R,19830519,UKR,,
104198,Guillermo,Garcia Lopez,R,19830604,ESP,188,Q304724
104233,Frederik,Nielsen,R,19830827,DEN,190,Q714047
104259,Philipp,Kohlschreiber,R,19831016,GER,178,Q77149
104269,Fernando,Verdasco,L,19831115,ESP,188,Q191740
104291,Malek,Jaziri,R,19840120,TUN,185,Q440477
104312,Andreas,Seppi,R,19840221,ITA,190,Q319572
104327,Steve,Darcis,R,19840313,BEL,178,Q164531
104331,Rudy,Coco,U,19840321,FRA,,Q16298447
104386,Janko,Tipsarevic,R,19840622,SRB,180,Q210012
104393,Gregoire,Burquier,L,19840708,FRA,,Q5612768
104460,Dustin,Brown,R,19841208,JAM,196,Q77159
104467,Lamine,Ouahab,R,19841222,ALG,185,Q1801569
104468,Gilles,Simon,R,19841227,FRA,183,Q212833
104473,Walter,Trusendi,U,19850103,ITA,,Q2546592
104479,Sarvar,Ikramov,R,19850110,UZB,,Q99557512
104518,Amrit,Narasimhan,U,19850310,USA,,
104527,Stan,Wawrinka,R,19850328,SUI,183,Q193661
104535,Daniel,Garza,R,19850408,MEX,,Q5217251
104542,Jo-Wilfried,Tsonga,R,19850417,FRA,188,Q192661
104545,John,Isner,R,19850426,USA,208,Q53566
104547,Horacio,Zeballos,L,19850427,ARG,188,Q512651
104559,Teymuraz,Gabashvili,R,19850523,RUS,185,Q337763
104563,Luca,Vanni,R,19850604,ITA,198,Q6695985
104571,Marcos,Baghdatis,R,19850617,CYP,183,Q207084
104586,Lukas,Rosol,R,19850724,CZE,193,Q29059
104587,Claudio,Grassi,U,19850725,ITA,,Q15278798
104593,Daniel,Gimeno Traver,R,19850807,ESP,185,Q457051
104607,Tomas,Berdych,R,19850917,CZE,196,Q193665
104620,Simone,Bolelli,R,19851008,ITA,183,Q315970
104629,Adrian,Menendez Maceiras,R,19851028,ESP,185,Q377925
104646,Purav,Raja,R,19851207,IND,183,Q7260859
104655,Pablo,Cuevas,R,19860101,URU,180,Q358651
104660,Sergiy,Stakhovsky,R,19860106,UKR,193,Q211636
104664,Nicolas,Rosenzweig,U,19860117,FRA,,
104665,Pablo,Andujar,R,19860123,ESP,180,Q373571
104667,Philipp,Oswald,R,19860123,AUT,201,Q875723
104678,Viktor,Troicki,R,19860210,SRB,193,Q148225
104707,Denis,Matsukevitch,R,19860328,RUS,190,Q5257378
